"Source #2 #","Category","Source #2 Name","External Reference Price","Supplied Specimen","Supplied Volume/Schedule/Method","Evidence Field","Existing 256 Match","Existing Production Match","Canonical Proposed Identity","Relationship","Workflow Boundary","Conflict","Price Authority"
"11","Biochemistry & Clinical Chemistry","Bilirubin (Total/Direct)","300","Serum","1 ml","SampleVolume","","","BILIRUBIN_TOTAL_DIRECT — Bilirubin (Total/Direct)","AdditionalCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"12","Biochemistry & Clinical Chemistry","SGOT/AST","250","Serum","2 ml","SampleVolume","SGOT (AST)","AST — AST / SGOT [Draft/NoClinicalReport; clinical=false]","AST — AST / SGOT","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"13","Biochemistry & Clinical Chemistry","SGPT/ALT","250","Serum","2 ml","SampleVolume","SGPT (ALT)","ALT — ALT / SGPT [Draft/NoClinicalReport; clinical=false]","ALT — ALT / SGPT","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"14","Biochemistry & Clinical Chemistry","ALP (Alkaline Phosphatase)","300","Serum","1 ml","SampleVolume","Serum Alkaline Phosphatase","ALP — Alkaline Phosphatase [Draft/NoClinicalReport; clinical=false]","ALP — Alkaline Phosphatase","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"15","Biochemistry & Clinical Chemistry","Kidney Function Test","1000","Serum","2 ml","SampleVolume","Hemoglobin","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","HB — Hemoglobin","AdditionalCandidate","Routine LIS / Clinical Biochemistry","Semantic match requires operator confirmation","ExternalReferencePrice"
"16","Biochemistry & Clinical Chemistry","Liver Function Test","1200","Serum","2 ml","SampleVolume","Hemoglobin","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","HB — Hemoglobin","AdditionalCandidate","Routine LIS / Clinical Biochemistry","Semantic match requires operator confirmation","ExternalReferencePrice"
"17","Biochemistry & Clinical Chemistry","Lipid Profile","1000","Serum","2 ml","SampleVolume","Hemoglobin","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","HB — Hemoglobin","AdditionalCandidate","Routine LIS / Clinical Biochemistry","Semantic match requires operator confirmation","ExternalReferencePrice"
"18","Biochemistry & Clinical Chemistry","Electrolytes (Na+/K+)","400","Serum","2 ml","SampleVolume","","","ELECTROLYTES_NA_K — Electrolytes (Na+/K+)","AdditionalCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"19","Biochemistry & Clinical Chemistry","Sodium","300","Serum/Body Fluid","5 ml","SampleVolume","Serum Sodium","SODIUM — Serum Sodium (Na+) [Active/Routine; clinical=false]","SODIUM — Serum Sodium (Na+)","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"20","Biochemistry & Clinical Chemistry","Potassium","300","Serum/Body Fluid","5 ml","SampleVolume","Serum Potassium","POTASSIUM — Serum Potassium (K+) [Active/Routine; clinical=false]","POTASSIUM — Serum Potassium (K+)","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"21","Biochemistry & Clinical Chemistry","Chloride","600","Serum/Body Fluid","1 ml","SampleVolume","Serum Chloride","CHLORIDE — Serum Chloride (Cl-) [Active/Routine; clinical=false]","CHLORIDE — Serum Chloride (Cl-)","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"22","Biochemistry & Clinical Chemistry","Calcium Serum","500","Serum","1 ml","SampleVolume","Serum Calcium","CALCIUM — Serum Calcium (Total) [Active/Routine; clinical=false]","CALCIUM — Serum Calcium (Total)","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"23","Biochemistry & Clinical Chemistry","Phosphorus Serum","500","Serum","2 ml","SampleVolume","Serum Phosphorus","PHOSPHORUS — Serum Phosphorus (Inorganic) [Active/Routine; clinical=false]","PHOSPHORUS — Serum Phosphorus (Inorganic)","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"24","Biochemistry & Clinical Chemistry","Magnesium","600","Serum/24hr Urine","2 ml","SampleVolume","Magnesium","MAGNESIUM — Serum Magnesium [Active/Routine; clinical=false]","MAGNESIUM — Serum Magnesium","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"25","Biochemistry & Clinical Chemistry","Iron","1000","Serum","2 ml","SampleVolume","Iron","IRON — Serum Iron [Active/Routine; clinical=false]","IRON — Serum Iron","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"26","Biochemistry & Clinical Chemistry","Iron Profile","3500","Serum","2 ml","SampleVolume","","","IRON_PROFILE — Iron Profile","ProfileCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"27","Biochemistry & Clinical Chemistry","TIBC","850","Serum","2 ml","SampleVolume","","","TIBC — TIBC","AdditionalCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"28","Biochemistry & Clinical Chemistry","Transferrin","2200","Serum","2 ml","SampleVolume","","","TRANSFERRIN — Transferrin","AdditionalCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"29","Biochemistry & Clinical Chemistry","Fructosamine","2500","Serum","2 ml","SampleVolume","","","FRUCTOSAMINE — Fructosamine","AdditionalCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"30","Biochemistry & Clinical Chemistry","LDH","800","Body Fluid/Serum","2 ml","SampleVolume","Serum LDH","LDH — Lactate Dehydrogenase (LDH) [Draft/NoClinicalReport; clinical=false]","LDH — Lactate Dehydrogenase (LDH)","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"31","Biochemistry & Clinical Chemistry","Lipase","1000","Serum/Body Fluid","2 ml","SampleVolume","Lipase","LIPASE — Lipase [Draft/NoClinicalReport; clinical=false]","LIPASE — Lipase","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"32","Biochemistry & Clinical Chemistry","Amylase","800","Serum/Body Fluid","1 ml","SampleVolume","Serum Amylase","AMYLASE — Amylase [Draft/NoClinicalReport; clinical=false]","AMYLASE — Amylase","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"33","Biochemistry & Clinical Chemistry","GGT (Gamma GT)","800","Serum","2 ml","SampleVolume","","","GGT_GAMMA_GT — GGT (Gamma GT)","AdditionalCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"34","Biochemistry & Clinical Chemistry","CK (CPK)","700","Serum","1 ml","SampleVolume","","","CK_CPK — CK (CPK)","AdditionalCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"35","Biochemistry & Clinical Chemistry","CK-MB (CPK-MB)","2000","Serum","1 ml","SampleVolume","","","CK_MB_CPK_MB — CK-MB (CPK-MB)","AdditionalCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"36","Biochemistry & Clinical Chemistry","Bicarbonate","1600","Serum","1 ml","SampleVolume","","","BICARBONATE — Bicarbonate","AdditionalCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"37","Biochemistry & Clinical Chemistry","Globulin","600","Serum","2 ml","SampleVolume","Globulin","GLOBULIN — Globulin [Draft/NoClinicalReport; clinical=false]","GLOBULIN — Globulin","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"38","Biochemistry & Clinical Chemistry","GFR (eGFR)","650","Serum","2 ml","SampleVolume","","","GFR_EGFR — GFR (eGFR)","AdditionalCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"39","Biochemistry & Clinical Chemistry","Cholinesterase Level","2500","Serum","2 ml","SampleVolume","","","CHOLINESTERASE_LEVEL — Cholinesterase Level","AdditionalCandidate","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"40","Hematology","CBC (Complete Haemogram)","700","EDTA Blood","3 ml","SampleVolume","Hemoglobin","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","HB — Hemoglobin","AdditionalCandidate","Routine LIS / Hematology","Semantic match requires operator confirmation","ExternalReferencePrice"
"41","Hematology","ESR","100","Whole Blood EDTA","3 ml","SampleVolume","","","ESR — ESR","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"42","Hematology","Blood Grouping and Rh Typing","150","EDTA Blood","3 ml","SampleVolume","","","BLOOD_GROUPING_AND_RH_TYPING — Blood Grouping and Rh Typing","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"43","Hematology","HbA1c","1000","Whole Blood EDTA","3 ml","SampleVolume","","","HBA1C — HbA1c","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"44","Hematology","Haemoglobin","200","Whole Blood EDTA","3 ml","SampleVolume","Hemoglobin","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","HB — Hemoglobin","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"45","Hematology","PCV","300","Whole Blood EDTA","3 ml","SampleVolume","Hemoglobin","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","HB — Hemoglobin","AdditionalCandidate","Routine LIS / Hematology","Semantic match requires operator confirmation","ExternalReferencePrice"
"46","Hematology","Platelets Count","300","Whole Blood EDTA","3 ml","SampleVolume","Platelet Count","PLT — Platelet Count [Active/Routine; clinical=false]","PLT — Platelet Count","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"47","Hematology","TLC","300","Whole Blood EDTA","3 ml","SampleVolume","Total Leukocyte Count","TLC — Total Leukocyte Count (TLC / WBC) [Active/Routine; clinical=false]","TLC — Total Leukocyte Count","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"48","Hematology","DLC","350","Whole Blood EDTA","3 ml","SampleVolume","Differential Leucocyte Count","DLC — Differential Leukocyte Count (DLC) [Active/Routine; clinical=false]","DLC — Differential Leukocyte Count","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"49","Hematology","MCV","300","Whole Blood EDTA","3 ml","SampleVolume","Mean Corpuscular Volume, MCV","CBC.MCV — Mean Corpuscular Volume (MCV)","MCV standalone identity","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"50","Hematology","MCH","300","Whole Blood EDTA","3 ml","SampleVolume","Mean Cell Haemoglobin, MCH","CBC.MCH — Mean Corpuscular Hemoglobin (MCH)","MCH standalone identity","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"51","Hematology","MCHC","300","Whole Blood EDTA","3 ml","SampleVolume","Mean Cell Haemoglobin CON, MCHC","CBC.MCHC — Mean Corpuscular Hb Conc (MCHC)","MCHC standalone identity","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"52","Hematology","RDW","300","Whole Blood EDTA","3 ml","SampleVolume","","","RDW — RDW","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"53","Hematology","MPV","300","Whole Blood EDTA","3 ml","SampleVolume","Mean Platelet Volume, MPV","","Mean Platelet Volume, MPV","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"54","Hematology","RBC Count","300","Whole Blood EDTA","3 ml","SampleVolume","","","RBC — RBC Count","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"55","Hematology","ESR","100","Whole Blood EDTA","3 ml","SampleVolume","","","ESR — ESR","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"56","Hematology","PT (Prothrombin Time)","500","Citrated Plasma","3 ml","SampleVolume","Prothrombin time, PT/INR","PT_INR — Prothrombin Time / International Normalized Ratio (PT / INR) [Draft/NoClinicalReport; clinical=false]","PT_INR — PT/INR (blocked pending authoritative configuration)","Existing256Match","Routine LIS / Hematology","Semantic match requires operator confirmation","ExternalReferencePrice"
"57","Hematology","APTT","600","Citrated Plasma","3 ml","SampleVolume","Activated partial thromboplastin time, APTT","","APTT — Activated Partial Thromboplastin Time","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"58","Hematology","D-Dimer","2000","Citrated Plasma","1 ml","SampleVolume","D-Dimer","","D-Dimer","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"59","Hematology","Fibrinogen Level","2500","Citrated Plasma","3 ml","SampleVolume","","","FIBRINOGEN_LEVEL — Fibrinogen Level","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"60","Hematology","FDP","3000","Citrated Plasma","3 ml","SampleVolume","","","FDP — FDP","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"61","Hematology","BT & CT","400","Walk to Lab","-","SampleVolume","","","BT_CT — BT & CT","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"62","Hematology","Bleeding Time (BT)","200","Walk to Lab","-","SampleVolume","","","BLEEDING_TIME_BT — Bleeding Time (BT)","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"63","Hematology","Clotting Time (CT)","200","Walk to Lab","-","SampleVolume","","","CLOTTING_TIME_CT — Clotting Time (CT)","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"64","Hematology","G6PD","2500","Whole Blood EDTA","3 ml","SampleVolume","Glucose-6-phosphate dehydrogenase","","Glucose-6-phosphate dehydrogenase","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"65","Hematology","Sickle Cell Test","1000","Whole Blood EDTA","3 ml","SampleVolume","","","SICKLE_CELL — Sickle Cell Test","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"66","Hematology","Reticulocyte Count","600","Whole Blood EDTA","3 ml","SampleVolume","Reticulocyte Count","RETIC_COUNT — Reticulocyte Count [Draft/NoClinicalReport; clinical=false]","RETIC_COUNT — Reticulocyte Count","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"67","Hematology","Haptoglobin","3300","Serum","2 ml","SampleVolume","","","HAPTOGLOBIN — Haptoglobin","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"68","Hematology","Haemoglobin HPLC/Electrophoresis","2500","Whole Blood EDTA","3 ml","SampleVolume","HEMOGLOBIN HPLC/ELECTROPHORESIS","","HEMOGLOBIN HPLC/ELECTROPHORESIS","MethodOrAssayVariantReview","Routine LIS / Hematology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"69","Hematology","Peripheral Blood Smear (PBS)","700","Whole Blood EDTA","3 ml","SampleVolume","Peripheral Blood Smear","PBS — Peripheral Blood Smear Examination (PBS) [Active/Routine; clinical=true]","PBS — Peripheral Blood Smear Examination (PBS)","Existing256Match","Routine LIS / Hematology","Semantic match requires operator confirmation","ExternalReferencePrice"
"70","Hematology","Absolute Eosinophil Count","400","Whole Blood EDTA","3 ml","SampleVolume","Absolute Eosinophil Count","AEC — Absolute Eosinophil Count [Draft/NoClinicalReport; clinical=false]","AEC — Absolute Eosinophil Count","Existing256Match","Routine LIS / Hematology","","ExternalReferencePrice"
"71","Hematology","Absolute Neutrophil Count","400","Whole Blood EDTA","3 ml","SampleVolume","","","ABSOLUTE_NEUTROPHIL — Absolute Neutrophil Count","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"72","Hematology","Absolute Lymphocyte Count","400","Whole Blood EDTA","3 ml","SampleVolume","","","ABSOLUTE_LYMPHOCYTE — Absolute Lymphocyte Count","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"73","Hematology","Absolute Basophil Count","400","Whole Blood EDTA","3 ml","SampleVolume","","","ABSOLUTE_BASOPHIL — Absolute Basophil Count","AdditionalCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"74","Hematology","Bone Marrow Karyotyping","5000","Bone Marrow","3 ml","SampleVolume","","","BONE_MARROW_KARYOTYPING — Bone Marrow Karyotyping","SpecialistNewCandidate","Routine LIS / Hematology","","ExternalReferencePrice"
"75","Hormones & Endocrinology","Thyroid Function Test (FT3,FT4,TSH)","1100","Serum","2 ml","SampleVolume","","","THYROID_FUNCTION_FT3_FT4_TSH — Thyroid Function Test (FT3,FT4,TSH)","ProfileCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"76","Hormones & Endocrinology","TFT Total (T3,T4,TSH)","1100","Serum","2 ml","SampleVolume","","","TFT_TOTAL_T3_T4_TSH — TFT Total (T3,T4,TSH)","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"77","Hormones & Endocrinology","TSH","600","Serum","2 ml","SampleVolume","Thyroid-Stimulating Hormone, TSH","TSH — Thyroid Stimulating Hormone (TSH, Ultrasensitive) [Active/Routine; clinical=false]","TSH — Thyroid Stimulating Hormone (TSH, Ultrasensitive)","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"78","Hormones & Endocrinology","Free T3","500","Serum","2 ml","SampleVolume","Free Triiodothyronine l, FT3","FT3 — Free Triiodothyronine (FT3) [Active/Routine; clinical=false]","FT3 — Free Triiodothyronine (FT3)","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"79","Hormones & Endocrinology","Free T4","500","Serum","2 ml","SampleVolume","Free Thyroxine, FT4","FT4 — Free Thyroxine (FT4) [Active/Routine; clinical=false]","FT4 — Free Thyroxine (FT4)","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"80","Hormones & Endocrinology","Testosterone (Total)","1600","Serum","1 ml","SampleVolume","Testosterone Total","","Testosterone Total","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"81","Hormones & Endocrinology","Testosterone (Free)","2500","Serum","1 ml","SampleVolume","Testosterone Free","","Testosterone Free","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"82","Hormones & Endocrinology","DHT","6000","Serum","2 ml","SampleVolume","","","DHT — DHT","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"83","Hormones & Endocrinology","DHEAS","2500","Serum","3 ml","SampleVolume","","","DHEAS — DHEAS","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"84","Hormones & Endocrinology","Prolactin","1600","Serum","2 ml","SampleVolume","Prolactin","","Prolactin","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"85","Hormones & Endocrinology","LH","1600","Serum","2 ml","SampleVolume","Luteinising Hormone, LH","","Luteinising Hormone, LH","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"86","Hormones & Endocrinology","FSH","1600","Serum","2 ml","SampleVolume","Follicle Stimulating Hormone, FSH","","Follicle Stimulating Hormone, FSH","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"87","Hormones & Endocrinology","Estradiol (E2)","1600","Serum","2 ml","SampleVolume","","","ESTRADIOL_E2 — Estradiol (E2)","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"88","Hormones & Endocrinology","Progesterone","1600","Serum","2 ml","SampleVolume","Progesterone","","Progesterone","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"89","Hormones & Endocrinology","AMH","4000","Serum","1 ml","SampleVolume","ANTI MULLERIAN HORMONE","","ANTI MULLERIAN HORMONE","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"90","Hormones & Endocrinology","Inhibin A","3500","Serum","2 ml","SampleVolume","","","INHIBIN_A — Inhibin A","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"91","Hormones & Endocrinology","Inhibin B","4000","Serum","2 ml","SampleVolume","","","INHIBIN_B — Inhibin B","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"92","Hormones & Endocrinology","Insulin","1650","Serum","2 ml","SampleVolume","","","INSULIN — Insulin","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"93","Hormones & Endocrinology","C-Peptide","2000","Serum","1 ml","SampleVolume","","","C_PEPTIDE — C-Peptide","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"94","Hormones & Endocrinology","Growth Hormone (GH)","2500","Serum","1 ml","SampleVolume","","","GROWTH_HORMONE_GH — Growth Hormone (GH)","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"95","Hormones & Endocrinology","IGF-1","5000","Serum","2 ml","SampleVolume","","","IGF_1 — IGF-1","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"96","Hormones & Endocrinology","PTH (Intact)","3200","Serum","2 ml","SampleVolume","","","PTH_INTACT — PTH (Intact)","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"97","Hormones & Endocrinology","Calcitonin","5000","Serum","1 ml","SampleVolume","Calcitonin","","Calcitonin","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"98","Hormones & Endocrinology","Aldosterone Serum","5000","Serum","2 ml","SampleVolume","","","ALDOSTERONE — Aldosterone Serum","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"99","Hormones & Endocrinology","Cortisol Serum","1800","Serum","1 ml","SampleVolume","Serum Cortisol","","Serum Cortisol","Existing256Match","Routine LIS / Endocrinology","","ExternalReferencePrice"
"100","Hormones & Endocrinology","ACTH","3000","EDTA Plasma","2 ml","SampleVolume","","","ACTH — ACTH","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"101","Hormones & Endocrinology","Renin Activity","10500","EDTA Plasma","2 ml","SampleVolume","","","RENIN_ACTIVITY — Renin Activity","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"102","Hormones & Endocrinology","SHBG","5200","Serum","2 ml","SampleVolume","","","SHBG — SHBG","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"103","Hormones & Endocrinology","HCG (Total)","1500","Serum","1 ml","SampleVolume","","","HCG_TOTAL — HCG (Total)","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"104","Hormones & Endocrinology","Free Beta HCG","2000","Serum","2 ml","SampleVolume","","","FREE_BETA_HCG — Free Beta HCG","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"105","Hormones & Endocrinology","Thyroid Autoantibodies (Anti-TPO, Anti-TG)","2000/3000","Serum","1 ml","SampleVolume","","","THYROID_AUTOANTIBODIES_ANTI_TPO_ANTI_TG — Thyroid Autoantibodies (Anti-TPO, Anti-TG)","ProfileCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"106","Hormones & Endocrinology","TSH Receptor Antibody","5500","Serum","1 ml","SampleVolume","","","TSH_RECEPTOR_ANTIBODY — TSH Receptor Antibody","AdditionalCandidate","Routine LIS / Endocrinology","","ExternalReferencePrice"
"107","Serology & Immunology","ANA","1500","Serum","1 ml","SampleVolume","","","ANA — ANA","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"108","Serology & Immunology","ANA by IFA","2200","Serum","2 ml","SampleVolume","","","ANA_BY_IFA — ANA by IFA","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"109","Serology & Immunology","ANA Profile (18 Parameter)","6500","Serum","1 ml","SampleVolume","","","ANA_PROFILE_18_PARAMETER — ANA Profile (18 Parameter)","ProfileCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"110","Serology & Immunology","ANA Profile (25 Parameter)","8500","Serum","1 ml","SampleVolume","","","ANA_PROFILE_25_PARAMETER — ANA Profile (25 Parameter)","ProfileCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"111","Serology & Immunology","ANCA","3500","Serum","1 ml","SampleVolume","","","ANCA — ANCA","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"112","Serology & Immunology","Anti-CCP","2500","Serum","1 ml","SampleVolume","","","ANTI_CCP — Anti-CCP","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"113","Serology & Immunology","Anti-DsDNA","1800","Serum","2 ml","SampleVolume","","","ANTI_DSDNA — Anti-DsDNA","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"114","Serology & Immunology","Anti-Cardiolipin IgG/IgM","1800","Serum","1 ml","SampleVolume","Anti Cardiolipin IgG","","Anti Cardiolipin IgG","MethodOrAssayVariantReview","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"115","Serology & Immunology","Anti-Phospholipid IgG/IgM","2000","Serum","1 ml","SampleVolume","Anti Phospholipid IgG","","Anti Phospholipid IgG","MethodOrAssayVariantReview","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
