"test_code","parameter_name","semantic_type","comparison_classification","existing_lis_status","method_dependent","lab_policy_required","source_traceability","conflict_notes","candidate_status","production_approved","production_action"
"END-0039","Beta-hCG, Quantitative","DIAGNOSTIC_DECISION_LIMIT","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TOX-0001","Lithium","THERAPEUTIC_TARGET","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TOX-0002","Valproic Acid (Sodium Valproate)","THERAPEUTIC_TARGET","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TOX-0003","Carbamazepine","THERAPEUTIC_TARGET","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TOX-0004","Phenytoin","THERAPEUTIC_TARGET","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TOX-0005","Vancomycin (Trough)","THERAPEUTIC_TARGET","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TOX-0006","Digoxin","THERAPEUTIC_TARGET","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TOX-0007","Theophylline","THERAPEUTIC_TARGET","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TOX-0008","Methotrexate (MTX)","THERAPEUTIC_TARGET","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TOX-0009","Cyclosporine (A)","THERAPEUTIC_TARGET","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TOX-0010","Tacrolimus (FK-506)","THERAPEUTIC_TARGET","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TUM-0001","Carcinoembryonic Antigen (CEA)","DIAGNOSTIC_DECISION_LIMIT","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TUM-0002","Alpha-Fetoprotein (AFP, Tumor Marker)","DIAGNOSTIC_DECISION_LIMIT","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TUM-0003","Cancer Antigen 125 (CA 125)","DIAGNOSTIC_DECISION_LIMIT","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TUM-0004","Carbohydrate Antigen 19-9 (CA 19-9)","DIAGNOSTIC_DECISION_LIMIT","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TUM-0005","Cancer Antigen 15-3 (CA 15-3)","DIAGNOSTIC_DECISION_LIMIT","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TUM-0006","Prostate-Specific Antigen (PSA, Total)","DIAGNOSTIC_DECISION_LIMIT","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"TUM-0007","Free PSA","DIAGNOSTIC_DECISION_LIMIT","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"COA-0001","Prothrombin Time (PT)","BIOLOGICAL_REFERENCE_INTERVAL","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"COA-0002","International Normalized Ratio (INR)","THERAPEUTIC_TARGET","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"COA-0003","Activated Partial Thromboplastin Time (APTT)","BIOLOGICAL_REFERENCE_INTERVAL","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"COA-0004","Fibrinogen (Clauss Method)","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","NO","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"COA-0006","D-Dimer","DIAGNOSTIC_DECISION_LIMIT","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"SER-0004","Hepatitis B Surface Antigen (HBsAg)","QUALITATIVE_INTERPRETATION","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"SER-0010","Anti-HCV Total Antibody","QUALITATIVE_INTERPRETATION","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"SER-0001","HIV 1/2 Antigen/Antibody (4th Gen)","QUALITATIVE_INTERPRETATION","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"SER-0015","Dengue NS1 Antigen","QUALITATIVE_INTERPRETATION","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"SER-0016","Dengue IgM Antibody","QUALITATIVE_INTERPRETATION","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"SER-0017","Dengue IgG Antibody","QUALITATIVE_INTERPRETATION","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"SER-0008","Syphilis (VDRL / RPR)","QUALITATIVE_INTERPRETATION","NEW_CANDIDATE","PENDING_CONFIG","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"SER-0024","Widal Test (S. Typhi O & H)","QUALITATIVE_INTERPRETATION","CONFLICTS_WITH_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","NO","SOURCE_VERIFICATION_REQUIRED","HARD CONFLICT: Research draft specifies 2 antigens (Typhi O/H) with 1:80 baseline. Approved LIS strictly enforces 4 antigens (Typhi O, Typhi H, Paratyphi AH, Paratyphi BH) with 6 discrete titers (<1:20 to 1:320) and AH/BH >=1:80 cutoffs.","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"SER-0089","Scrub Typhus (O. tsutsugamushi IgM)","QUALITATIVE_INTERPRETATION","CONFLICTS_WITH_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","HARD CONFLICT: Research draft is IgM-only. Approved LIS (00134) strictly configures dual IgM + IgG panel on FIAcheck.","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
