code,name,category,configuration_type,status,priority,parameter_count,reference_range_required,reference_range_count,qualitative_config_required,analyzer_mapping_required,analyzer_mapping_count,method,specimen,active_rate,action_reason
"END-0063","Growth Hormone Suppression Test","Endocrinology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Protocol-based timed testing","Serum/Plasma at timed intervals","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"END-0064","Growth Hormone Stimulation Test","Endocrinology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Protocol-based timed testing","Serum/Plasma at timed intervals","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"END-0065","Water Deprivation Test","Endocrinology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Protocol-based timed testing","Serum/Plasma at timed intervals","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"IMM-0027","Lupus Anticoagulant Panel","Immunology","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"ELISA/IFA/Immunoassay as validated","Serum","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"POC-0002","Venous Blood Gas (VBG)","Point of Care / Blood Gas","ANALYZER_CHEMISTRY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Blood gas analyzer","Heparinized arterial/venous whole blood","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0010","Fertility Female Profile","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0011","Fertility Male Profile","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0012","PCOS Profile","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0013","Anemia Profile","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0015","Thrombophilia Profile","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0016","TORCH Profile","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0017","Hepatitis B Profile","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0018","Autoimmune Screen","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0019","Rheumatology Profile","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0020","Multiple Myeloma Screen","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0021","Antenatal Basic Profile","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0022","Preoperative Basic Profile","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0023","Fever Panel - Basic","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0024","Hypertension Secondary Screen","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"PRO-0025","Pituitary Profile","Profiles / Packages","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Composite panel","Multiple specimens as applicable","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"IMM-0093","Interleukin-6 (IL-6)","Serology & Immunology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Method Pending Clinical Validation","Specimen Pending Validation","3000.00","NO_PARAMETERS"
"SER-0089","Scrub Typhus (FIA IgM/IgG)","Serology & Immunology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Fluorescence Immunoassay (FIA)","Specimen Pending Validation","1000.00","NO_PARAMETERS"
"SPC-0005","Amino Acid Profile, Plasma","Special Chemistry","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Validated screening/LC-MS/MS method","Blood/DBS/Urine/Sweat as specified","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"SPC-0006","Acylcarnitine Profile","Special Chemistry","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Validated screening/LC-MS/MS method","Blood/DBS/Urine/Sweat as specified","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"SPC-0007","Organic Acids, Urine","Special Chemistry","ANALYZER_CHEMISTRY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Validated screening/LC-MS/MS method","Blood/DBS/Urine/Sweat as specified","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"ALG-0001","Specific IgE - House Dust Mite D. pteronyssinus","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0002","Specific IgE - House Dust Mite D. farinae","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0003","Specific IgE - Cockroach","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0004","Specific IgE - Cat Dander","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0005","Specific IgE - Dog Dander","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0006","Specific IgE - Alternaria alternata","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0007","Specific IgE - Aspergillus fumigatus","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0008","Specific IgE - Cladosporium herbarum","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0009","Specific IgE - Penicillium chrysogenum","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0010","Specific IgE - Bermuda Grass","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0011","Specific IgE - Timothy Grass","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0012","Specific IgE - Rye Grass","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0013","Specific IgE - Johnson Grass","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0014","Specific IgE - Common Ragweed","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0015","Specific IgE - Mugwort","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0016","Specific IgE - Birch","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0017","Specific IgE - Oak","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0018","Specific IgE - Olive Tree","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0019","Specific IgE - Cow's Milk","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0020","Specific IgE - Egg White","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0021","Specific IgE - Egg Yolk","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0022","Specific IgE - Peanut","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0023","Specific IgE - Soybean","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0024","Specific IgE - Wheat","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0025","Specific IgE - Rice","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0026","Specific IgE - Maize/Corn","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0027","Specific IgE - Sesame","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0028","Specific IgE - Walnut","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0029","Specific IgE - Cashew","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0030","Specific IgE - Almond","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0031","Specific IgE - Hazelnut","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0032","Specific IgE - Shrimp","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0033","Specific IgE - Crab","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0034","Specific IgE - Lobster","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0035","Specific IgE - Tuna","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0036","Specific IgE - Salmon","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0037","Specific IgE - Codfish","Allergy","GENETICS_RESULT","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"TRUE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"ALG-0038","Specific IgE - Beef","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0039","Specific IgE - Chicken Meat","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0040","Specific IgE - Pork","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0041","Specific IgE - Mustard","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0042","Specific IgE - Latex","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0043","Specific IgE - Honey Bee Venom","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0044","Specific IgE - Wasp Venom","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0045","Specific IgE - Mosquito","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0046","Specific IgE - Penicillin G","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0047","Specific IgE - Penicillin V","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"ALG-0048","Specific IgE - Amoxicillin","Allergy","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ImmunoCAP/Validated specific IgE assay","Serum","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0004","Glucose, 1 hr Post Glucose","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Hexokinase/GOD-POD","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0005","Glucose, 2 hr Post Glucose","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Hexokinase/GOD-POD","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0007","Fructosamine","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Colorimetric","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0011","eGFR","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CKD-EPI 2021 Equation","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0025","Cholinesterase","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Diazo Photometric","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0026","Ammonia","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Calculated (Total Bilirubin - Direct Bilirubin)","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0033","Non-HDL Cholesterol","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Direct Clearance / Enzymatic Immunoinhibition","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0034","Apolipoprotein A1","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Direct Enzymatic / Friedewald Calculation","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0035","Apolipoprotein B","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Calculated (Triglycerides / 5)","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0036","Lipoprotein(a)","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CNPG3 / IFCC Kinetic Photometric","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0040","Bicarbonate / Total CO2","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Enzymatic/ISE","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0042","Calcium, Ionized","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"ISE","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"BIO-0045","Iron","Clinical Biochemistry","ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Ferrozine","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
